"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","88","Hifen LZ tablets","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous 
Cefixime - 200mg
Linezolid – 600mg","M/s Hetero Lab. Ltd.","M/s Hetero Healthcare Ltd.","1 Tablet","29.5","1812(E)","10-Jul-14"
"","89","Linox Total","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous 
Cefixime - 200mg
Linezolid – 600mg","M/s Hetero Lab. Ltd.","M/s Unichem Lab. Ltd.","1 Tablet","29.5","1812(E)","10-Jul-14"
"","90","Cefixime 200 mg + Linezolid 600 mg Tablet","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous 
Cefixime - 200mg
Linezolid – 600mg","M/s Innova Captab Pvt. Ltd.","M/s Cadila Pharmaceuticals Ltd.","1 Tablet","29.5","1812(E)","10-Jul-14"
"","91","Cefixime 200 mg + Linezolid 600 mg Tablet","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous 
Cefixime - 200mg
Linezolid – 600mg","M/s Hetero Lab. Ltd.","M/s Micro Lab. Ltd.","1 Tablet","29.5","1812(E)","10-Jul-14"
"","92","Lizolid Plus Tablets 10's","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous 
Cefixime - 200mg
Linezolid – 600mg","M/s Hetero Lab. Ltd.","M/s Glenmark Pharmaceuticals Ltd.","1 Tablet","29.5","1812(E)","10-Jul-14"
"","93","Megazolid Plus Tablet","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous 
Cefixime - 200mg
Linezolid – 600mg","M/s Hetero Lab. Ltd.","M/s Aristo Pharmaceuticals Pvt. Ltd.","1 Tablet","29.5","1812(E)","10-Jul-14"
"","94","Lilxapla (Oxaliplatin) injection 100mg/vial","Each vial contains:
Oxaliplatin – 100mg
Lactos Monohydrate – 900mg","M/s Onco Therapies Ltd","M/s Eli Lilly and Company (India) Pvt. Ltd","Injection","4178.11","1813(E)","10-Jul-14"
"","95","Pacimol MF Suspension","Each 5 ml contains:
Paracetamol IP 250 mg
Mefenamic Acid IP 100 mg","M/s Tirupati Medicare Limited","M/s Ipca Laboratories Ltd.","Suspension","0.59","2096 (E)","20-Aug-14"
"","96","Dicyclomine HCl- 10mg & Diclofenac Sodium 25mg Iinjection","Each  ml contains:
Dicyclomine Hydrochloride IP 10 mg 
Diclofenac Sodium IP 25 mg 
Benzalkonium Chloride Solution IP 0.05% w/v
(As preservative) 
Water for Injection I.P. q.s.","M/s Nitin Lifesciences Ltd","M/s Mankind Pharma Ltd.","Injection","8.06","2097 (E)","20-Aug-14"
"","97","Clopitab CV 10","Each hard gelatin capsule contains:
Atorvastatin Calcium IP 
Eq. to Atorvastatin 10 mg (as film coated tablet)
Clopidogrel Bisulphate IP 
Eq. to Clopidogrel 75mg","M/s Safetab Life Science","M/s Lupin Limited","Capsules","87.52","2098 (E)","20-Aug-14"
"","98","Cyclosporine Microemulsion Eye Drops (Cyclodrop)","Each ml contains:
Cyclosporine USP 0.5 mg
Benzalkonium Chloride Solution IP 0.02% v/v
(As Preservative)","M/s Cadila Healthcare limited","M/s Cadila Healthcare limited","Drop","109.6","2099 (E)","20-Aug-14"
"","99","Malarce","Each uncoated tablet contains:
Pyrimethamine IP 25 mg
Sulphamethoxypyridazine BP 500 mg","M/s Tee & Tee Healthcare","M/s Gujarat Terce Laboratories Limited","1 Tablet","1.93","2100 (E)","20-Aug-14"
"","100","Tramadol 50 mg and Diclofenac 75 mg SR Tablet","Each film coated bilayered tablet contains:
Tramadol HCL IP 50 mg
Diclofenac Sodium IP 75 mg
(as sustained release layer)","M/s Sun Glow Pharmaceuticals P. Ltd.","M/s Ajanta Pharma Ltd.,","1 Tablet","4.56","2102 (E)","20-Aug-14"
"","101","Cetirizine HCL + Paracetamol +Phenylepherin HCL Suspension","Each 5ml contains:
Paracetamol 125mg
Cetirizine HCl 2.5mg
Phenylepherine HCl 2.5mg","M/s Res Sancta","M/s Micro Labs Ltd.","Suspension","0.35","2103 (E)","20-Aug-14"
"","102","Azulix 4 MF Tablet","Each uncoated bilayered tablet contains:
Glimepiride 4mg
Metformin HCl 500mg
(in sustained release form)","M/s Windlas Biotech Limited","M/s Torrent Pharmaceuticals","1 Tablet","6.6","2105 (E)","20-Aug-14"
"","103","Azulix 3 MF Tablet","Each uncoated bilayered tablet contains:
Glimepiride 3mg
Metformin HCl 500mg
(in sustained release form)","M/s Windlas Biotech Limited","M/s Torrent Pharmaceuticals","1 Tablet","4.64","2105 (E)","20-Aug-14"
"","104","Azibact-CF Tablet","Each film coated tablet contains:
Cefpodoxime Proxetil
Eq. to Cefpodoxime IP 200 mg
Azithromycin Dihydrate
Eq. to Azithromycin Anhydrous IP 250 mg q.s","M/s Theon Pharmaceuticals Ltd.","M/s Ipca Laboratories Ltd.","1 Tablet","17.7","2361(E)","15-Sep-14"
"","105","PT-325","Each film coated tablet contains:
Acetaminophen 325 mg
Tramadol HCL 37.5 mg","M/s Apex Lab. Ltd.","M/s Apex Lab. Ltd.","1 Tablet","4","2362(E)","15-Sep-14"
"","106","Scodia SR 1000 Tablet","Each uncoated SR tablet contains:
Metformin HCL 1000 mg SR tablet","M/s Akums Drugs & Pharmaceuticals ltd.","M/s Apex Lab. Ltd.","1 Tablet","3.34","2363(E)","15-Sep-14"
"","107","Scodia SR 750 Tablet","Each uncoated SR tablet contains:
Metformin HCL 750 mg SR tablet","M/s Akums Drugs & Pharmaceuticals ltd.","M/s Apex Lab. Ltd.","1 Tablet","1.97","2363(E)","15-Sep-14"
"","108","Parvon -Spas Plus","Each capsule contains:
Tramadol Hydrochloride IP 50 mg,
Dicyclomine Hydrochloride IP 10 mg,
Acetaminophen IP 325 mg","M/s Jagsonpal Pharmaceuticals Ltd.","M/s Jagsonpal Pharmaceuticals Ltd.","Capsule","2.3","2364(E)","15-Sep-14"
"","109","Zoryl M 0.5 Tablet","Each uncoated bilayered tablet contains:
Glimepiride IP 0.5 mg
Metformin Hydrochloride IP 500 mg
(As extended  release form)","M/s Intas Pharmaceuticals ltd.","M/s Intas Pharmaceuticals ltd.","1 Tablet","2.32","2365(E)","15-Sep-14"
"","110","Paracetamol infusion 1000mg/100ml","Each ml contains: Paracetamol 10mg","M/s Ahlcon Parenterals (I) Ltd","M/s Biochem Pharmaceuticals Limited.","Infusion","2.1","3135(E)","10-Dec-14"
"","111","Paracetamol infusion 1000mg/100ml","Each ml contains: Paracetamol 10mg","M/s Ahlcon Parenterals (I) Ltd","M/s Cadila Healthcare Limited (Zydus Cadila)","Infusion","2.1","3135(E)","10-Dec-14"
"","112","Amoxycillin Trihydrate eq. to Amoxycillin 875mg, Potassium Clavulanate Diluted eq. to Clavulanic Acid 125mg tablet","Each tablet contains:   Amoxycillin Trihydrate eq. to Amoxycillin 875mg Potassium Clavulanate Diluted eq. to Clavulanic Acid 125mg","M/s Mapra Lab. Ltd","M/s Mapra Lab. Ltd","1 Tablet","160","3136(E)","10-Dec-14"
"","113","Cardiocil M tablet)","Each film coated tablet contains:
Metoprolol succinate eq. to 
Metoprolol Tartarate (in extended release form) – 50mg
Cilnidipine 10mg","M/s Acme Formulation Pvt. Ltd","M/s Alembic Pharmaceuticals Limited.","1 Tablet","7.66","3137(E)","10-Dec-14"
"","114","(Trusten AZ tablet)","Each film coated tablet contains:
Cefixime (as trihydrate) eq. to Anhydrous Cefixime 200mg
Azithromycin (as dehydrate) eq. to Azithromycin 250mg","M/s. Theon Pharmaceuticals Ltd.","M/s Zuventus Healthcare Ltd","1 Tablet","15.88","3138(E)","10-Dec-14"
"","115","(Levobact AZ 250 tablet)","Each film coated tablet contains:
Azithromycin (as dehydrate) eq. to Azithromycin 250mg
Levofloacin Hemidhydrate eq. to Levofloxacin 250mg","M/s Hetero Labs. Ltd","M/s Micro Lab.,","1 Tablet","12.15","3139(E)","10-Dec-14"
"","116","(Levobact AZ 500 tablet)","Each film coated tablet contains:
Azithromycin (as dehydrate) eq. to Azithromycin 500mg
Levofloacin Hemidhydrate eq. to Levofloxacin 500mg","M/s Hetero Labs. Ltd","M/s Micro Lab.,","1 Tablet","21.55","3139(E)","10-Dec-14"
"","117","Gatifloxacin 3mg + Prednisolone Acetate 10mg + Benzalkonium Chloride Drops 0.01% (Eye drops).","Each ml contains
Gatifloxacin eq. to Gatifloxacin (anhydrous) – 3mg
Prednisolone Acetate – 10mg
Benzalkonium Chloride 0.01% w/v (as preservative)","M/s Adore Pharmaceuticals Pvt. Ltd.","M/s Ajanta Pharma Ltd.,","(Eye drops)","2.47","3140(E)","10-Dec-14"
"","118","(Clopid AT10 capsule)","Each hard gelatin capsule contains:
Atorvastatin calcium eq. to Atorvastatin 10mg
(As pellets)
Clopidogrel bisulphate eq. to Clopidogrel 75mg
(As pellets)","M/s Orbit Lifescience Pvt. Ltd.,","M/s Genx Pharma Ltd","Capsule","87.52","3141(E)","10-Dec-14"
"","119","(Clopid AT20)","Each hard gelatine capsule contains:
Atorvastatin Calcium eq. to Atrovastatin 20 mg (as pellets)
Clopidogrel bisulphate eq. To Clopidogrel 125 mg (as pellets)","M/s Orbit Lifescience Pvt. Ltd.","M/s Gnex Pharma Ltd.","Capsule","110.48","3141(E)","10-Dec-14"
"","120","(Glikey MF 60 tablet)","Each uncoated bilayered sustained release tablet contains:
Gliclazide 60mg
Metformin 500mg","M/s Anphar Organics","and M/s USV Ltd.","1 Tablet","6.61","3142(E)","10-Dec-14"
"","121","(Glikey MF 80 tablet)","Each uncoated bilayered tablet contains:
Gliclazide 80mg
Metformin 500mg (in sustained release form)","M/s. Anphar Organics","M/s USV Ltd","1 Tablet","4.63","3142(E)","10-Dec-14"
"","122","Cefpodoxime Proxetil 200mg & Azithromycin 250mg Tablets","Each film coated tablet contains:
Cefpodoxime Proxetil  eq. to Cefpodoxime IP 200 mg
Azithromycin Dihydrate
Eq. to Azithromycin Anhydrous IP 250 mg","Theon Pharmaceuticals Ltd","M/s Cadila Limited.","1 Tablet","17.7","3143(E)","10-Dec-14"
"","123","(Zuventdine OZ ointment)","Each gm contains:
Povidone Iodine 5% w/w
(Available Iodine 0.5% w/w)
Ornidazole 1% w/w","M/s. Innova Captab","M/s Zuventus Healtchare Ltd.","Ointment","3","3144(E)","10-Dec-14"
"","124","Telmisartan 40mg, Amlodipine 5mg tablet and Hydrochlrothiazide 12.5mg","Each uncoated bilayered tablet contains:
Telmisartan IP 40 mg   
Amlodipine besylate IP eq. to Amlodipine 5 mg
Hydrochlorothiazide IP 12.5 mg","M/s Windlas Biotech Ltd.","M/s Cadila Pharmaceuticals Ltd","1 Tablet","7.8","3145(E)","10-Dec-14"
"","125","Losartan Potassium 50mg and Chlorthalidone 12.5mg tablet.","Each film coated tablet contains:
Losartan Potassium 50mg 
Chlorthalidone 12.5mg","M/s Cadila Pharma","M/s Cadila Pharma","1 Tablet","4.55","3146(E)","10-Dec-14"
"","126","– (NAB Tortaxel).","Each vial contains:
Paclitaxel 100mg (Human Albumin)","M/s Panacea Biotech Ltd.","M/s Torrent Pharmaceuticals Ltd.","Vial","11590","581(E)","24/2/2016"
"","127","(Uthyrox 25).","Each uncoated tablet contains:
L-Thyroxine Sodium IP
Equivalent to anhydrous
L-Thyroxine Sodium 25 mcg","M/s Sterile-Gene Life Sciences Pvt, Ltd.","M/s Merck Ltd.","1 Tablet","1.14","3148(E)","10-Dec-14"
"","128","(Uthyrox 75).","Each uncoated tablet contains:
L-Thyroxine Sodium IP
Equivalent to anhydrous
L-Thyroxine Sodium 75 mcg","M/s Sterile-Gene Life Sciences Pvt, Ltd.","M/s Merck Ltd.","1 Tablet","1.25","3148(E)","10-Dec-14"
"","129","Rosuvastatin 10mg and Aspirin 150mg capsule","Each hard gelatin capsule contains:
Rosuvastatin calcium eq. to Rosuvastatin 10mg (as granules)
Aspirin 150mg (as enteric coated tablet)","M/s GKM New Pharma","M/s Intas Pharma Ltd.","Capsule","4.55","3149(E)","10-Dec-14"
"","130","Rosuvastatin 10mg and Aspirin 150mg capsule","Each hard gelatin capsule contains:
Rosuvastatin calcium eq. to Rosuvastatin 10mg (as granules)
Aspirin 150mg (as enteric coated tablet)","M/s Aeon Formulations Pvt. Ltd.","M/s Ajanta Pharma Ltd","Capsule","4.55","3149(E)","10-Dec-14"
"","131","(Clobetavate NM 10gms cream).","Each gm contains:
Clobetasol Propionate 0.05% w/w
Neomycin Sulphate eq to Neomycin 0.1% w/w
Miconazole Nitrate - 2.0%w/w","M/s Curetech Skincare","M/s Lupin Ltd.,","Cream","2.06","3150(E)","10-Dec-14"
"","132","(Cyclosporine eye Drop 0.05%)","Each ml contains:
Cyclosporine 0.5mg
Benzalkonium Chloride 0.01% w/v
(as preservative)","M/s Ajanta Pharma Ltd.,","M/s Ajanta Pharma Ltd.,","Eye drop","266.25","3152(E)","10-Dec-14"
"","133","Diclofenac Potassium 50mg and Serratiopeptidase 15mg tablet","Each film coated tablet contains:
Diclofenac Potassium – 50mg
Serratiopeptidase –15mg
(30,000 units of Serratiopeptidase)
(as enteric coated granuals)","M/s Pharma Force Lab.,","M/s Mankind Pharma Ltd.","1 Tablet","2.7","3153(E)","10-Dec-14"
"","134","Clobetavate GM 10gm cream","Each gm contains:
Clobetasol propionate 0.05% w/w
Neomycin sulphate eq. to Neomycin 0.5% w/w
Miconazole Nitrate 2.0% w/w
Zinc Sulphate 2.0% w/w","M/s Curetech Skincare","M/s Lupin Ltd.","Cream","1.77","3154(E)","10-Dec-14"
"","135","Calcium carbonate 200mg, Calcitriol 0.25mcg, Mecobalamin 1500mcg, Folic Acid 1.5mg and Pyridoxine HCl 3mg capsule.","Each soft gelatin capsule contains:
Calcium carbonate eq. to Elemental Calcium 200mg
Calcitriol 0.25mcg
Mecobalamin 1500mcg
Folic Acid 1.5mg
Pyridoxine HCl 3mg","M/s Mankind Pharma Ltd.","M/s Mankind Pharma Ltd.","Capsule","7.68","3155(E)","10-Dec-14"
"","136","Ceftriaxone & Sulbactam injection","Sterile Ceftriaxone sodium eq. to Ceftriaxone 250mg + Sterile Sulbactam sodium eq. to Sulbactam 125mg injection","Theon Pharmaceuticals Ltd.","IVA Healthcare Pvt. Ltd.","Injection","38.77","841(E)","25-Mar-15"
"","137","Cifixime & Azithromycin Tablet","Cefixime Trihydrate  eq. to Anhydrous Cefixime 200mg Azithromycin as Dihydrate eq. to Anhydrous Azithromycin 250mg","Theon Pharmaceuticals Ltd.","IVA Healthcare Pvt. Ltd.","1 Tablet","15.88","841(E)","25-Mar-15"
"","138","Cifixime & Dicloxacillin (ER) tablet","Cefixime Trihydrate  eq. to Cefixime Anhydrous  200mg Dicloxacillin Sodium eq. to Dicloxacillin 500mg","Theon Pharmaceuticals Ltd.","IVA Healthcare Pvt. Ltd.","1 Tablet","13.99","841(E)","25-Mar-15"
"","139","Amoxycillin & Dicloxacillin Capsule","Amoxycillin Trihydrate eq. to Amoxycillin 250mg Dicloxacillin Sodium eq. to Dicloxacillin 250mg","Theon Pharmaceuticals Ltd.","IVA Healthcare Pvt. Ltd.","Capsule","5.22","841(E)","25-Mar-15"
"","140","Ceftriaxone + Sulbactam Injection (XONE SB 250mg injection)","Ceftriaxone sodium eq. to Ceftriaxone 250mg + Sulbactam sodium eq. to sulbactam 125mg","Alkem Lab. Ltd.","Alkem Lab. Ltd.","Injection","38.77","842(E)","25-Mar-15"
"","141","Ceftriaxone + Sulbactam Injection (XONE SB 1 gm)","Ceftriaxone sodium eq. to Ceftriaxone1000mg + Sulbactam sodium eq. to sulbactam 500mg","Alkem Lab. Ltd.","Alkem Lab. Ltd.","Injection","98.69","842(E)","25-Mar-15"
"","142","Telmisartan + Hydrochlorothiazide Tablet  (TELVILITE H tablet)","Telmisartan 80mg + Hydrochlorothiazide 12.5mg","Crescent Therapeuticas Ltd.","Leeford Healthcare Ltd.","1 Tablet","11.6","843(E)","25-Mar-15"
"","143","Cefixime Drops/ Oral Suspension (Novafex Drops)","Cefixime eq. to Anhydrous Cefixime 25mg","Redicura Pharmaceuticals Pvt. Ltd.","Redicura Pharmaceuticals Pvt. Ltd.","Drops","3.7","844(E)","25-Mar-15"
"","144","Telmisartan  Hydrochlorothiazide + Amlodipine tablet.","Telmisartan 80mg + Hydrochlorothiazide 12.5mg + Amlodipine besylate eq. to Amlodipine 5mg","Aristo Pharmceuticals Pvt. Ltd.","Aristo Pharmceuticals Pvt. Ltd.","10's Tablets","122.86","845(E)","25-Mar-15"
"","145","Trusten O Dry Syrup","Cefixime Trihydrate eq. to Anhydrous Cefixime 50mg","Innova Captab P.Ltd.","Zuventus Healthcare Pvt. Ltd.","Syrup","1.39","846(E)","25-Mar-15"
"","146","Paracetamol 650mg tablet","Paracetamol 650mg","Biochem Pharmaceuticals Ind. Ltd.","Biochem Pharmaceuticals Ind. Ltd.","1 Tablet","1.62","847(E)","25-Mar-15"
"","147","Glimepiride  + Metformin HCl      (GLYCIZ M1 tablet)","Glimepiride 1mg + Metformin HCl 500mg SR","Indu Drugs Pvt. Ltd.","Indu Drugs Pvt. Ltd.","10's Tablets","38.46","848(E)","25-Mar-15"
"","148","Glimepiride  + Metformin HCl      (GLYCIZ M2 tablet)","Glimepiride 2mg + Metformin HCl 500mg SR","Indu Drugs Pvt. Ltd.","Indu Drugs Pvt. Ltd.","1 Tablet","4.5","848(E)","25-Mar-15"
"","149","cefixime  + Ofloxacin  (ACCEF – O tablet)","cefixime 200mg + Ofloxacin 200mg","Indu Drugs Pvt. Ltd.","Indu Drugs Pvt. Ltd.","1 Tablet","9.86","848(E)","25-Mar-15"
"","150","Cefixime + Ofloxacin (TRUSTEN OF   tablet)","Cefixime as trihydrate eq. to anhydrous cefixime 200mg + Ofloxacin 200mg","Associated Biotech","Zuventus Healthcare Ltd","1 Tablet","9.86","849(E)","25-Mar-15"
"","151","Cefixime + Ofloxacin (C tax OF   tablet)","Cefixime as trihydrate eq. to anhydrous cefixime 200mg + Ofloxacin 200mg","Associated Biotech","Zuventus Healthcare Ltd","1 Tablet","9.86","849(E)","25-Mar-15"
"","152","Ranitidine Oral Solution","Ranitidine HCl eq. to Ranitidine 75mg","Ajanta Pharma Ltd.","Ajanta Pharma Ltd.","Solution","0.52","850(E)","25-Mar-15"
"","153","Ranitidine Oral Solution","Ranitidine HCl eq. to Ranitidine 75mg","Relax Pharmaceuticals Pvt. Ltd.","Magnet Labs. Ltd.","Solution","0.52","850(E)","25-Mar-15"
"","154","Brimonidine tartrate + Timllol maleate Eye Drops","Brimonidine tartrate 2mg Timolol maleate eq. to timolol 5mg + Benzalkonium Chloride 0.005% w/v","Ajanta Pharma Ltd.","Ajanta Pharma Ltd.","Drops","108.4","850(E)","25-Mar-15"
"","155","Cyclosporine Eye Drop 0.1%","Cyclosporine 1mg + Benzalkonium Chloride 0.01% w/v","Ajanta Pharma Ltd.","Ajanta Pharma Ltd.","Drops","212.88","850(E)","25-Mar-15"
"","156","Diazepam Suppositories                 (SUPPAM 2.5mg).","Diazepam 2.5mg Suppositories","Meridian Enterprises Pvt. Ltd.","Meridian Enterprises Pvt. Ltd.","Suppository","3.9","852(E)","25-Mar-15"
"","157","Ferrous Ascorbate + Adenosylcobalamin + Zinc Sulphate + Folic Acid Tablet","Ferrous Ascorbate eq. to elemental Iron 100mg + Adenosylcobalamin 15mcg + Zinc Sulphate monohydrate eq. to elemental Zinc 22.5mg + Folic Acid 1.5mg","Theon Pharmaceuticals Ltd..","Intas Pharmaceuticals Ltd.","1 Tablet","3.79","853(E)","25-Mar-15"
"","158","Amlodipine + Valsartan            (AMLONG-VL 80 tablet).","Amlodipine besilate eq. to Amlodipine 5mg + Valsartan 80mg","Micro Lab.","Micro Lab.","1 Tablet","2.19","854E)","25-Mar-15"
"","159","Amlodipine + Valsartan           (AMLONG-VL 160 tablet).","Amlodipine besilate eq. to Amlodipine 5mg + Valsartan 160mg","Micro Lab.","Micro Lab.","1 Tablet","3.38","854E)","25-Mar-15"
"","160","Chlorthalidone+ Amlodipine -           (CTD-AM )","Chlorthalidone 12.5mg and Amlodipine Besilate eq. to Amlodipine 5mg","IPCA Lab. Ltd.","IPCA Lab. Ltd.","1 Tablet","2.33","855E)","25-Mar-15"
"","161","Cefpodoxime Proxetil & Ofloxacin tablet","Each film coated tablet contains: Cefpodoxime Proxetil eq. to Cefpodoxime 200mg Ofloxacin 200mg","Theon Pharmaceuticals Ltd.","IVA Healthcare Pvt. Ltd","1 Tablet","12.91","1205(E)","06-May-16"
"","162","Zibose M 0.2 tablet","Each uncoated bilayered tablet contains: Voglibose 0.2mg Metformin HCl 500mg  (sustained release)","Swiss Garnier Lifescience","FDC Ltd","10 Tablet","52.38","1206(E)","06-May-15"
"","163","Zibose M 0.3 tablet","Each uncoated bilayered tablet contains: Voglibose 0.3mg Metformin HCl 500mg  (sustained release)","Swiss Garnier Lifescience","FDC Ltd","10 Tablet","52.38","1206(E)","06-May-15"
"","164","Ceftriaxone + Tazobactum Injection","Each vial contains: Sterile Ceftriaxone sodium eq. to Ceftriaxone 1000mg  Sterile Tazobactam sodium eq. to Tazobactum 125mg","G.M.H Organics","Cadila Pharmaceuticals Ltd","Vial","113.16","1207(E)","06-May-15"
"","165","Ceftriaxone + Tazobactum Injection","Each vial contains: Sterile Ceftriaxone sodium eq. to Ceftriaxone 250mg  Sterile Tazobactam sodium eq. to Tazobactum 31.25mg","G.M.H Organics","Cadila Pharmaceuticals Ltd","Vial","44.81","1207(E)","06-May-15"
"","166","HHGLIM-M1 tablet","Each uncoated bilayered tablet contains: Glimepiride 1mg Metformin HCl 500mg  (in extended release form)","Windlas Biotech Ltd.","Hegde & Hegde Pharmaceuticals","10 Tablet","38.46","1208(E)","06-May-15"
"","167","GRID 1M tablet","Each uncoated bilayered tablet contains: Glimepiride 1mg Metformin HCl 500mg  (in extended release form)","Pure & Cure Healthcare Pvt. Ltd.","Dey’s Medical Stores (Manufacturing) Ltd","10 Tablet","38.46","1209(E)","06-May-15"
"","168","HHGLIM-M2 tablet","Each uncoated bilayered tablet contains: Glimepiride 2mg Metformin HCl 500mg  (in extended release form)","Windlas Biotech Ltd.","Hegde & Hegde Pharmaceuticals","1 Tablet","4.5","1208(E)","06-May-15"
"","169","G3N 2.6 tablet","Each prolonged release tablet contains: Diluted Glyceryl Trinitrate eq. to Glyceryl Trinitrate 2.6mg","Windlas Biotech Ltd","Emcure Pharmaceuticals Ltd.","1 Tablet","3.69","1210(E)","06-May-15"
"","170","G3N 6.4 tablet","Each prolonged release tablet contains: Diluted Glyceryl Trinitrate eq. to Glyceryl Trinitrate 6.4mg","Windlas Biotech Ltd","Emcure Pharmaceuticals Ltd.","1 Tablet","4.77","1210(E)","06-May-15"
"","171","Diclotal – AQ injection","Each ml contains: Diclofenac Sodium 75mg","Akums Drugs & Pharmaceuticals Ltd.","Blue Cross Lab. Ltd.","Injection","14","1211(E)","06-May-15"
"","172","Novafex 100 Dry Syrup","Each 5ml after reconstitution contains:  Cefixime eq. to Anhydrous Cefixime 100mg","Radicura Pharmaceuticals Pvt. Ltd","Radicura Pharmaceuticals Pvt. Ltd","Suspension","2.1","1212(E)","06-May-15"
"","173","Ramistar – A5 tablet","Each uncoated tablet contains: Ramipril 5mg Amlodipine Besilate eq. to Amlodipine 5mg","Lupin Ltd.","Lupin Ltd.","1 Tablet","4.29","1213(E)","06-May-15"
"","174","Hysocine Butlybromide 20mg tablet","Each film coated tablet contains Hyoscine Butylbromide 20mg","Cadila Healthcare Ltd.","� Cadila Healthcare Ltd.","1 Tablet","5.63","1214(E)","06-May-15"
"","175","Salbutamol Sulphate Inhaler 100mcg/dose, 200metered dose  with dose counter","Each actuation delivers: Salbutamol Sulphate eq. to Salbutamol 100mcg suspended in propellant HFA 134a","M/s Cipla Ltd.","M/s Cipla Ltd.","200 metred dose","121.08","1215(E)","06-May-15"
